"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cacng4",2.31956851650729e-18,2.96199126046717,0.342,0.076,3.33855496580895e-14,"4","Cacng4"
"H2afy2",3.46639020665066e-18,1.25340396553178,0.775,0.418,4.9891754244323e-14,"4","H2afy2"
"Stmn21",3.51107913841644e-18,1.04026464040135,0.847,0.385,5.05349620392278e-14,"4","Stmn2"
"Crmp11",8.52824994356657e-18,1.15577094385914,0.784,0.4,1.22747101437754e-13,"4","Crmp1"
"Mpped2",2.0405345386584e-17,1.91922890553522,0.685,0.347,2.93694136149104e-13,"4","Mpped2"
"Slain1",2.13587792865047e-17,2.52289730621471,0.351,0.084,3.07416910270662e-13,"4","Slain1"
"Shank1",4.38659578229362e-17,2.74399236154323,0.306,0.064,6.31362730945521e-13,"4","Shank1"
"Tcf121",5.7805147085644e-17,2.03540856588314,0.486,0.177,8.31989482003673e-13,"4","Tcf12"
"Map1b1",5.79445914660844e-17,1.09832217715438,0.865,0.495,8.33996504971353e-13,"4","Map1b"
"2700060E02Rik1",4.84948759335456e-16,0.844705914104863,0.901,0.592,6.97986749311522e-12,"4","2700060E02Rik"
"Ptprd1",6.72983549824588e-16,2.27443419027208,0.45,0.158,9.6862522326253e-12,"4","Ptprd"
"Elavl32",1.24168131781043e-15,1.18950012189243,0.775,0.425,1.78715192072455e-11,"4","Elavl3"
"Mllt112",2.18935085535814e-15,0.905076026517274,0.883,0.516,3.15113268611697e-11,"4","Mllt11"
"Ssbp21",7.05878762547772e-15,1.90731100001161,0.514,0.214,1.01597130293501e-10,"4","Ssbp2"
"Nsg11",9.76394709965872e-15,0.955290071272121,0.865,0.513,1.40532490605388e-10,"4","Nsg1"
"Cnrip11",1.35565310081183e-14,1.57143268810854,0.495,0.199,1.95119150799847e-10,"4","Cnrip1"
"St8sia21",2.68402129310234e-14,2.20739565510615,0.387,0.127,3.86311184716219e-10,"4","St8sia2"
"Xist1",3.57115058284223e-14,1.72389626799497,0.631,0.375,5.13995703388483e-10,"4","Xist"
"Ogt2",4.88301168089878e-14,1.37908901983493,0.649,0.337,7.02811871231762e-10,"4","Ogt"
"Abi2",5.98140935776362e-14,2.59610965926113,0.297,0.075,8.60904248862917e-10,"4","Abi2"
"Cadm42",6.86885400645697e-14,1.54039680034885,0.532,0.232,9.88634157149351e-10,"4","Cadm4"
"Plppr32",1.06315750070702e-13,1.53594923679213,0.55,0.256,1.53020259076761e-09,"4","Plppr3"
"Zfp536",1.0696420364401e-13,2.57444988600516,0.288,0.071,1.53953578304824e-09,"4","Zfp536"
"Aplp11",1.29012642089802e-13,1.16620923859402,0.649,0.308,1.85687895759852e-09,"4","Aplp1"
"Rbm251",1.37570860768376e-13,0.984552996120816,0.766,0.44,1.98005739903924e-09,"4","Rbm25"
"Rbfox21",1.91508242736842e-13,1.17137296229094,0.685,0.355,2.75637813771136e-09,"4","Rbfox2"
"Apc21",2.84674870444656e-13,1.91559678415089,0.459,0.189,4.09732541030994e-09,"4","Apc2"
"Zfp4281",3.15492199030335e-13,1.06035567899761,0.694,0.396,4.5408792206436e-09,"4","Zfp428"
"Cdk5r11",4.90253547491032e-13,1.36063479842857,0.559,0.261,7.05621930903843e-09,"4","Cdk5r1"
"Podxl22",5.46153283603742e-13,0.885579549872638,0.757,0.409,7.86078421090867e-09,"4","Podxl2"
"Tra2a2",6.04860332802175e-13,1.07516833570933,0.73,0.45,8.70575477002171e-09,"4","Tra2a"
"Ubb1",7.07508078496904e-13,0.43488520214432,0.991,0.917,1.01831637738059e-08,"4","Ubb"
"Srrm2",7.15868468749007e-13,0.957772160387746,0.775,0.484,1.03034948707045e-08,"4","Srrm2"
"Dlgap41",4.57147907145302e-12,1.17913421442574,0.604,0.328,6.57972982754234e-08,"4","Dlgap4"
"Tuba1a1",6.65851075296488e-12,0.59123049796346,1,0.931,9.58359452674236e-08,"4","Tuba1a"
"Cmip1",1.07870388265396e-11,2.0728456262214,0.378,0.142,1.55257849830385e-07,"4","Cmip"
