"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hmgb2",5.70769064373716e-67,3.80476921852354,0.775,0.213,8.2150791435309e-63,"0","Hmgb2"
"Phgdh",2.10132500546088e-65,3.64037011387545,0.574,0.05,3.02443708035984e-61,"0","Phgdh"
"Fabp7",4.66487702871052e-61,3.24579543004047,0.871,0.403,6.71415750742305e-57,"0","Fabp7"
"Dbi",6.04512586017137e-61,2.50272621421235,0.89,0.44,8.70074965054465e-57,"0","Dbi"
"H2afz",4.11997692303311e-55,2.07742818789178,0.933,0.803,5.92988278532156e-51,"0","H2afz"
"Mt3",1.59529902129383e-51,3.32933836251648,0.641,0.154,2.29611388134822e-47,"0","Mt3"
"Vim",8.82061326054771e-50,2.50862104390097,0.732,0.224,1.26955086659063e-45,"0","Vim"
"Aldoc",7.65613001229525e-49,3.42600078274852,0.493,0.059,1.10194679266966e-44,"0","Aldoc"
"Cdk1",9.16364569896395e-45,5.80512083304651,0.33,0.01,1.31892352545188e-40,"0","Cdk1"
"2810417H13Rik",1.24565588371146e-44,5.09651879965464,0.378,0.026,1.7928725134259e-40,"0","2810417H13Rik"
"Pbk",4.75551284585631e-43,3.88717332466025,0.354,0.019,6.84460963904099e-39,"0","Pbk"
"Ddah1",1.01648634417692e-40,2.93206603629338,0.464,0.07,1.46302879517384e-36,"0","Ddah1"
"Tuba1b",1.5412184464819e-38,2.4215825832264,0.828,0.56,2.2182757100214e-34,"0","Tuba1b"
"Cdca3",3.07537744935127e-34,5.64629484217423,0.282,0.016,4.42639076285128e-30,"0","Cdca3"
"Ube2c",5.13853947138883e-34,4.02110044833408,0.364,0.048,7.39589986116994e-30,"0","Ube2c"
"Mt1",5.86318127585454e-34,2.70273208974517,0.402,0.064,8.43887681033744e-30,"0","Mt1"
"Lockd",1.11291176115043e-33,4.12208147956482,0.349,0.043,1.60181389782381e-29,"0","Lockd"
"Sparc",4.55847073563399e-32,3.38113016421221,0.268,0.014,6.56100692979799e-28,"0","Sparc"
"Psat1",3.70353030284376e-31,2.94154553046142,0.344,0.046,5.33049116488302e-27,"0","Psat1"
"Ppia",3.9567225145327e-31,0.847620184324349,0.962,0.93,5.69491071516691e-27,"0","Ppia"
"Ndrg2",5.69849068837595e-29,2.49010656393693,0.435,0.107,8.20183764777951e-25,"0","Ndrg2"
"1500015O10Rik",7.0682805593328e-29,4.28315489367188,0.278,0.027,1.01733762090477e-24,"0","1500015O10Rik"
"Cks2",2.64879391828952e-28,3.75774756119624,0.34,0.056,3.81240908659411e-24,"0","Cks2"
"Cdca8",5.72553087198895e-28,4.42610851159621,0.263,0.024,8.2407565840537e-24,"0","Cdca8"
"Mfge8",5.81901822100255e-28,4.91363605876409,0.258,0.022,8.37531292548897e-24,"0","Mfge8"
"Hes1",8.03529148761957e-28,3.29836001700056,0.254,0.019,1.15651950381308e-23,"0","Hes1"
"Ran",1.5390643762113e-27,1.19853097875858,0.871,0.794,2.21517535668092e-23,"0","Ran"
"Mt2",8.09683127154701e-27,2.35017097905745,0.321,0.048,1.16537692491376e-22,"0","Mt2"
"Apoe",9.82228293084916e-26,3.8813774091773,0.297,0.043,1.41372118223712e-21,"0","Apoe"
"Ckb",1.16117409879112e-25,1.38107139565528,0.789,0.624,1.67127788039006e-21,"0","Ckb"
"Gng5",2.26694134767069e-25,1.87909756368445,0.632,0.331,3.26280868170243e-21,"0","Gng5"
"Plpp3",1.02615252818782e-24,4.03652264956354,0.258,0.03,1.47694133382073e-20,"0","Plpp3"
"Rplp1",2.54127674043552e-24,0.766184806583949,0.938,0.925,3.65765961250884e-20,"0","Rplp1"
"E130114P18Rik",3.73224335404981e-24,2.65633830440829,0.282,0.04,5.37181785948389e-20,"0","E130114P18Rik"
"H2afv",1.93047968650518e-23,1.54622025335705,0.785,0.661,2.7785394127869e-19,"0","H2afv"
"Hmgn2",4.62858499435231e-23,1.64834209756205,0.737,0.542,6.66192238237127e-19,"0","Hmgn2"
"Pea15a",8.22470500642642e-23,2.58543954468357,0.507,0.222,1.18378179157496e-18,"0","Pea15a"
"Rrm2",1.98228491263785e-22,3.57564310613287,0.278,0.046,2.85310267475966e-18,"0","Rrm2"
"Rps2",4.18645750111779e-22,0.676649026215097,0.938,0.917,6.02556828135884e-18,"0","Rps2"
"Rpl14",6.35989212102435e-22,0.693406079783739,0.928,0.904,9.15379272979035e-18,"0","Rpl14"
"Fgfbp3",4.43072762501454e-20,3.49478190542581,0.258,0.046,6.37714627068343e-16,"0","Fgfbp3"
"Oat",2.17289219831288e-19,2.67230028587209,0.287,0.061,3.12744374103172e-15,"0","Oat"
"Ttyh1",2.79472035340344e-19,2.41484430540467,0.273,0.054,4.02244100465357e-15,"0","Ttyh1"
"Psph",3.62256826778444e-19,2.46738248483482,0.311,0.077,5.21396250782214e-15,"0","Psph"
"Gapdh",4.88458446427447e-19,0.830496816701362,0.866,0.824,7.03038241943024e-15,"0","Gapdh"
"Cks1b",2.00494425151594e-18,2.19151068947425,0.388,0.131,2.88571626120689e-14,"0","Cks1b"
"Ldha",2.27588499405927e-18,1.60063722229542,0.598,0.347,3.27568127194951e-14,"0","Ldha"
"Rpl22l1",4.90017074569531e-18,1.20175671450601,0.766,0.595,7.05281575427925e-14,"0","Rpl22l1"
"Prdx1",1.05140174589647e-17,1.42416982607968,0.617,0.378,1.51328253286879e-13,"0","Prdx1"
"Mif",3.22537255933277e-17,1.05437127978264,0.799,0.739,4.64227872464766e-13,"0","Mif"
"Anp32b",3.73455451074249e-17,1.92614012712036,0.545,0.301,5.37514430731166e-13,"0","Anp32b"
"Rps18",4.08483170135489e-17,0.548843944763609,0.919,0.928,5.87929826776009e-13,"0","Rps18"
"Ptn",5.58432833934758e-16,1.51257515179079,0.665,0.466,8.03752377882298e-12,"0","Ptn"
"Ranbp1",1.43883961413786e-15,1.41289887910228,0.708,0.594,2.07092185662862e-11,"0","Ranbp1"
"Rbm3",4.64228605447335e-15,1.13746782324275,0.761,0.675,6.6816423182035e-11,"0","Rbm3"
"Rpl41",1.47613290696338e-14,0.475435609673237,0.933,0.949,2.12459809299239e-10,"0","Rpl41"
"Eef1d",3.08208023841348e-14,1.64975941341935,0.522,0.304,4.43603808714852e-10,"0","Eef1d"
"2700094K13Rik",1.37297420256938e-13,1.71999579052771,0.603,0.483,1.9761217697581e-09,"0","2700094K13Rik"
"Clic1",1.96443990353653e-13,1.93022142680338,0.383,0.171,2.82741835316013e-09,"0","Clic1"
"Pax6",3.37006573769591e-13,2.1208776862868,0.344,0.133,4.85053561626573e-09,"0","Pax6"
"Cd9",1.56916967714e-12,2.46172520827854,0.273,0.088,2.25850591630761e-08,"0","Cd9"
"Paics",2.35378878440447e-12,1.96477930450718,0.392,0.189,3.38780819739335e-08,"0","Paics"
"Rpl8",2.98969116806757e-12,0.530156103421807,0.89,0.902,4.30306249819965e-08,"0","Rpl8"
"Rps20",4.64326126581135e-12,0.457326263805207,0.88,0.89,6.68304593988227e-08,"0","Rps20"
"Rplp0",1.41366151155985e-11,0.420503749205044,0.952,0.934,2.03468301358809e-07,"0","Rplp0"
"Hnrnpf",1.65341733391645e-11,1.38317530910323,0.579,0.427,2.37976356870595e-07,"0","Hnrnpf"
"Tipin",1.81186852210215e-11,1.98853327310603,0.321,0.134,2.60782236386162e-07,"0","Tipin"
"Rps26",1.86459831994604e-11,0.622600925570683,0.88,0.878,2.68371636189834e-07,"0","Rps26"
"Ppp1r1a",2.54018734977943e-11,2.50349575112918,0.316,0.136,3.65609165253754e-07,"0","Ppp1r1a"
"1810037I17Rik",2.70179838789579e-11,1.62535463446636,0.431,0.242,3.88869841969841e-07,"0","1810037I17Rik"
"Slc25a5",4.80506900550269e-11,1.0682646726663,0.679,0.586,6.91593581962002e-07,"0","Slc25a5"
"Rpl18",7.85866408001318e-11,0.453967928839535,0.919,0.866,1.1310975210363e-06,"0","Rpl18"
"Dut",8.150729938313e-11,1.74164818042579,0.435,0.25,1.17313456002139e-06,"0","Dut"
"Oaz1",9.97047701724074e-11,0.663341408208993,0.818,0.782,1.43505075709146e-06,"0","Oaz1"
"Cnn3",1.19823043793138e-10,1.42336205879173,0.579,0.429,1.72461306931464e-06,"0","Cnn3"
"Gnai2",1.29061419845981e-10,1.57890936104455,0.488,0.331,1.85758101584321e-06,"0","Gnai2"
"Hmgn3",1.46475050634623e-10,1.47418627888512,0.498,0.314,2.10821540378413e-06,"0","Hmgn3"
"Smc4",1.97931616565079e-10,2.11955247049568,0.268,0.102,2.84882975722118e-06,"0","Smc4"
"Acot1",2.79059731151737e-10,1.29326480606016,0.354,0.17,4.01650671046695e-06,"0","Acot1"
"Tpi1",4.1880107897962e-10,1.32965442483968,0.536,0.374,6.02780392975367e-06,"0","Tpi1"
"Prdx6",4.87768703325806e-10,1.55270405229235,0.474,0.304,7.02045494696833e-06,"0","Prdx6"
"Dek",6.27116195772014e-10,2.22003997951408,0.416,0.251,9.0260834057466e-06,"0","Dek"
"Tubb4b",6.95895112215702e-10,2.03289674646936,0.464,0.309,1.00160183501206e-05,"0","Tubb4b"
"Rpl3",7.58727228007597e-10,0.501560581707118,0.89,0.888,1.09203609927133e-05,"0","Rpl3"
"Anp32e",1.01167800131515e-09,1.72766537597871,0.498,0.317,1.45610814729289e-05,"0","Anp32e"
"Gcsh",1.11221237643698e-09,1.48772594101441,0.292,0.125,1.60080727340574e-05,"0","Gcsh"
"Ctsl",2.01785858590744e-09,2.46459535190618,0.297,0.136,2.90430386269657e-05,"0","Ctsl"
"Rps27a",2.24408321969562e-09,0.399359908396594,0.943,0.946,3.2299089781079e-05,"0","Rps27a"
"Myl12a",2.99905696674037e-09,1.52800656366991,0.364,0.189,4.31654269222942e-05,"0","Myl12a"
"H2afx",4.11577909141107e-09,2.53458127335209,0.354,0.195,5.92384084626795e-05,"0","H2afx"
"Cd63",4.98302872891424e-09,1.38284022050952,0.34,0.163,7.17207324952626e-05,"0","Cd63"
"Rps4x",5.39163869662171e-09,0.342860229501253,0.923,0.923,7.76018557604763e-05,"0","Rps4x"
"Rpl31",8.36956200577643e-09,0.426856309257204,0.9,0.912,0.00012046310594914,"0","Rpl31"
"Rps29",9.30601359007515e-09,0.355241910187493,0.962,0.947,0.000133941453601952,"0","Rps29"
"Eif5a",1.97653099474155e-08,0.6900542955971,0.722,0.696,0.000284482106073151,"0","Eif5a"
"Pgam1",2.27864514450422e-08,1.05977264733258,0.589,0.482,0.000327965395648493,"0","Pgam1"
"Sfrp1",3.22439858976775e-08,1.99246564310948,0.273,0.126,0.000464087689025272,"0","Sfrp1"
"Prdx4",5.86439824170371e-08,1.46458137900712,0.273,0.125,0.000844062838928415,"0","Prdx4"
"Rhoa",6.14328022211263e-08,1.65010974203933,0.459,0.322,0.000884202322368671,"0","Rhoa"
"Hmgb1",6.19695189609939e-08,0.904002783237145,0.818,0.814,0.000891927286405585,"0","Hmgb1"
"Lsm2",9.22325630891887e-08,2.07280938917049,0.373,0.226,0.00132750328054269,"0","Lsm2"
"Rps3",9.61591431387872e-08,0.414172654459436,0.909,0.896,0.00138401854719656,"0","Rps3"
"Rlbp1",9.77579256228553e-08,1.23813071060083,0.364,0.214,0.00140702982348976,"0","Rlbp1"
"Tpm4",1.00167560605347e-07,1.37430814981586,0.311,0.154,0.00144171169979276,"0","Tpm4"
"Rps12",1.05981514070238e-07,0.37318940073838,0.876,0.901,0.00152539193201294,"0","Rps12"
"Rpsa",1.12327546481392e-07,0.303762095724825,0.89,0.901,0.00161673037650667,"0","Rpsa"
"Ccnd2",1.33187795237206e-07,1.5490235189014,0.402,0.253,0.00191697193684911,"0","Ccnd2"
"Erh",1.75066116858725e-07,0.603730776600909,0.77,0.795,0.00251972661994763,"0","Erh"
"Pcna",1.91163855699039e-07,2.24432951842126,0.268,0.131,0.00275142137507627,"0","Pcna"
"Pbdc1",2.03862972187737e-07,1.65503562798527,0.263,0.123,0.0029341997586981,"0","Pbdc1"
"Eno1",2.21640014379665e-07,1.13472107064307,0.507,0.402,0.00319006472696652,"0","Eno1"
"Rps25",2.46287530870528e-07,0.358848399057361,0.88,0.89,0.00354481643181951,"0","Rps25"
"Rpl37a",2.5264470587729e-07,0.318134783309771,0.928,0.93,0.00363631525169184,"0","Rpl37a"
"Rps24",2.56537448917647e-07,0.367755673218594,0.895,0.942,0.00369234350227169,"0","Rps24"
"Rpl13",2.99574083568212e-07,0.206578037359512,0.962,0.952,0.00431176978479728,"0","Rpl13"
"Dtymk",3.30207708173073e-07,1.84003154821948,0.378,0.242,0.00475267954373503,"0","Dtymk"
"Mrfap1",3.89940667408225e-07,0.707228045366282,0.699,0.659,0.00561241602600658,"0","Mrfap1"
"Rps27l",4.1677179491295e-07,0.9993349550613,0.608,0.538,0.00599859644418209,"0","Rps27l"
"Rpl36a",5.10949268708849e-07,0.406256515767289,0.813,0.851,0.00735409282452646,"0","Rpl36a"
"Sep15",5.6542176319175e-07,1.10797284570319,0.545,0.474,0.00813811543761886,"0","Sep15"
"Rps16",6.4154499309177e-07,0.361232853650755,0.909,0.912,0.00923375708556984,"0","Rps16"
"Qk",1.25279085279978e-06,1.57445492185905,0.278,0.141,0.0180314187443473,"0","Qk"
"Cetn2",1.4718887982606e-06,1.61425474413697,0.297,0.162,0.0211848954733648,"0","Cetn2"
"Rpl13a",1.59225525862301e-06,0.258744736305434,0.971,0.973,0.0229173299373609,"0","Rpl13a"
"Npm1",1.88959399550166e-06,0.660058479189178,0.751,0.76,0.0271969263772554,"0","Npm1"
"Rpl35a",2.04078246086398e-06,0.301658375156628,0.876,0.909,0.0293729819592152,"0","Rpl35a"
"Higd1a",2.77016303485773e-06,1.26997234963375,0.397,0.262,0.0398709565607073,"0","Higd1a"
"Rps8",3.16946041782697e-06,0.283042374597804,0.914,0.954,0.0456180437937836,"0","Rps8"
"Scrn1",3.35244038697066e-06,1.34890503615126,0.349,0.219,0.0482516744896687,"0","Scrn1"
"Rps3a1",3.67288285115808e-06,0.280657289531836,0.895,0.92,0.0528638028767183,"0","Rps3a1"
"Rpl12",4.08877213793608e-06,0.533169131541736,0.775,0.81,0.058849697381314,"0","Rpl12"
"Rpl22",4.25816728789344e-06,0.428173086639101,0.766,0.766,0.0612878017746503,"0","Rpl22"
"Siva1",4.61620768132156e-06,1.47334773076865,0.282,0.157,0.0664410771572612,"0","Siva1"
"Txn1",5.34813148230519e-06,0.773816422058367,0.632,0.587,0.0769756564248186,"0","Txn1"
"Atp5g2",5.37872921029999e-06,0.640765183006391,0.689,0.677,0.0774160495238478,"0","Atp5g2"
"Mid1ip1",5.58662182840734e-06,1.43844816956996,0.258,0.136,0.0804082479762669,"0","Mid1ip1"
"Serf2",8.26321909933797e-06,0.571566025811078,0.718,0.723,0.118932512496771,"0","Serf2"
"Rps10",8.2971396013398e-06,0.355948737458853,0.866,0.875,0.119420730282084,"0","Rps10"
"Nap1l1",8.83895036410626e-06,0.986092791443705,0.555,0.483,0.127219012590581,"0","Nap1l1"
"Rpl21",9.93387934590509e-06,0.281118819723728,0.9,0.922,0.142978325425612,"0","Rpl21"
"Rpl9",1.23301430227745e-05,0.29782063647291,0.919,0.91,0.177467748526794,"0","Rpl9"
"Smim11",1.39249771840963e-05,1.27881403134469,0.321,0.194,0.200422196610698,"0","Smim11"
"Mrpl17",1.42543283365278e-05,1.2558064659712,0.292,0.171,0.205162547747644,"0","Mrpl17"
"Thoc7",1.48587702633541e-05,1.22511640488197,0.474,0.373,0.213862280400456,"0","Thoc7"
"Hmgn1",1.48979379269319e-05,0.61755372908755,0.742,0.76,0.21442602058233,"0","Hmgn1"
"Hnrnpk",1.63235478155297e-05,0.574167553881106,0.823,0.77,0.234944823708919,"0","Hnrnpk"
"Rnaseh2c",1.7190468975884e-05,0.982329088191713,0.349,0.219,0.247422419969898,"0","Rnaseh2c"
"Lsm6",1.73041480597039e-05,1.37649972409589,0.435,0.33,0.249058603023319,"0","Lsm6"
"Cst3",1.82314556537086e-05,1.36078643950409,0.579,0.55,0.262405341223828,"0","Cst3"
"Hspe1",2.08589438834549e-05,0.849687682152127,0.627,0.616,0.300222779314566,"0","Hspe1"
"Ndufc2",2.25300164075572e-05,0.651700367101773,0.67,0.662,0.324274526153971,"0","Ndufc2"
"Glud1",2.3814277445279e-05,1.2364836040961,0.273,0.157,0.342758895269901,"0","Glud1"
"Lsm5",2.41005493988897e-05,1.22729128847145,0.402,0.298,0.34687920749822,"0","Lsm5"
"Fdps",2.47567125134149e-05,1.16983165795541,0.411,0.302,0.35632336320558,"0","Fdps"
"Snrpb",2.51103824144702e-05,0.838964389462138,0.636,0.606,0.36141373409147,"0","Snrpb"
"Rps6",2.54361331615253e-05,0.318340803014783,0.866,0.902,0.366102264593833,"0","Rps6"
"Fkbp3",2.85964036016529e-05,0.747693225245826,0.608,0.578,0.41158803703859,"0","Fkbp3"
"Gstm5",2.97247937013768e-05,0.777828521193569,0.455,0.347,0.427828955743916,"0","Gstm5"
"Srsf3",3.09466095693516e-05,0.608542120467767,0.703,0.685,0.445414551531678,"0","Srsf3"
"Tmpo",4.41121711443012e-05,1.42820504158616,0.383,0.278,0.634906479279926,"0","Tmpo"
"Rap1a",4.58796414608418e-05,1.58348069239748,0.278,0.173,0.660345679545895,"0","Rap1a"
"Snrpf",4.73079641083657e-05,0.658604179565228,0.66,0.637,0.680903527411708,"0","Snrpf"
"Glo1",4.87327591752211e-05,0.927916657433643,0.364,0.258,0.701410602808957,"0","Glo1"
"Rpl28",4.9812159412165e-05,0.299122509312416,0.871,0.893,0.716946410419291,"0","Rpl28"
"Rplp2",5.04873895743924e-05,0.267710796371036,0.866,0.931,0.72666499814423,"0","Rplp2"
"Rps17",5.45380121473168e-05,0.233773265051622,0.89,0.923,0.784965608836331,"0","Rps17"
"Hnrnpa3",7.53228640513356e-05,0.91734706438945,0.617,0.592,1,"0","Hnrnpa3"
"Nt5dc2",8.71311611500919e-05,1.2338751087358,0.297,0.186,1,"0","Nt5dc2"
"Pdcd5",9.42524218980894e-05,0.896822660395274,0.565,0.499,1,"0","Pdcd5"
"Rps15",0.000101804159928181,0.253108465134991,0.89,0.925,1,"0","Rps15"
"Fam210b",0.000102064853418477,1.09687443415438,0.378,0.275,1,"0","Fam210b"
"Ccdc34",0.000129918138763025,1.12402663099542,0.373,0.28,1,"0","Ccdc34"
"Rpl6",0.000171574769136973,0.184997132196763,0.89,0.923,1,"0","Rpl6"
"Rpl39",0.00018331578167134,0.349411901078716,0.837,0.878,1,"0","Rpl39"
"Impdh2",0.000196941025413043,0.836867597645257,0.368,0.275,1,"0","Impdh2"
"Rps19",0.000200261395311903,0.211407383775969,0.928,0.942,1,"0","Rps19"
"Commd1",0.000252034444361564,1.15579051631963,0.344,0.248,1,"0","Commd1"
"Tbrg1",0.000253528161660197,1.3364667354308,0.258,0.162,1,"0","Tbrg1"
"Eef1g",0.000275943793228635,0.332431495973209,0.785,0.797,1,"0","Eef1g"
"Tmbim6",0.000295717464068256,1.0863292577357,0.349,0.258,1,"0","Tmbim6"
"Hmgcs1",0.00030297266656172,1.39856646115658,0.273,0.179,1,"0","Hmgcs1"
"Park7",0.000311693218826416,0.713576627080097,0.636,0.621,1,"0","Park7"
"Rps21",0.000326703767417066,0.382777937468118,0.813,0.826,1,"0","Rps21"
"Rps9",0.000364331151352736,0.2835891314631,0.914,0.909,1,"0","Rps9"
"Cox8a",0.000430943537861413,0.507788153341348,0.699,0.725,1,"0","Cox8a"
"Rps11",0.000466685332709702,0.247582026438176,0.909,0.942,1,"0","Rps11"
"Mmd2",0.000478336861406739,1.25853200138031,0.301,0.213,1,"0","Mmd2"
"Mdk",0.000542219166354471,0.784843650156508,0.502,0.424,1,"0","Mdk"
"Rpl27a",0.000577220281687146,0.242037901143394,0.904,0.906,1,"0","Rpl27a"
"Ezr",0.000626588538016551,1.12312634862222,0.301,0.198,1,"0","Ezr"
"Tkt",0.000766845418726997,0.894662775445851,0.493,0.437,1,"0","Tkt"
"Rpl10a",0.00077264363109225,0.317844723607702,0.804,0.867,1,"0","Rpl10a"
"Tmem14c",0.000846322840939738,1.41663706590966,0.311,0.222,1,"0","Tmem14c"
"Ndufa12",0.000877752226347231,0.739321680802683,0.541,0.523,1,"0","Ndufa12"
"Dnajc9",0.000918891768714684,1.10520790870267,0.301,0.214,1,"0","Dnajc9"
"Cox7c",0.00114388092066265,0.395806131185206,0.746,0.765,1,"0","Cox7c"
"Tmem256",0.00115406385648461,0.899029052581867,0.435,0.384,1,"0","Tmem256"
"Shfm1",0.00116298692338331,0.46462158749432,0.694,0.726,1,"0","Shfm1"
"Banf1",0.00122396679811084,1.32128619377532,0.402,0.354,1,"0","Banf1"
"Mrps14",0.0013805942378017,0.978536863839877,0.373,0.293,1,"0","Mrps14"
"St13",0.00161312838882367,0.872378244482253,0.435,0.366,1,"0","St13"
"2700029M09Rik",0.0017382290757838,1.24756887713152,0.282,0.202,1,"0","2700029M09Rik"
"Atp5j",0.00186428096026602,0.44985461119603,0.737,0.742,1,"0","Atp5j"
"Wdr61",0.00214028479947502,1.59726795734292,0.268,0.189,1,"0","Wdr61"
"Fau",0.00224637783495995,0.237293059839621,0.909,0.902,1,"0","Fau"
"Pkm",0.00236806870778343,0.51370780863854,0.708,0.699,1,"0","Pkm"
"Slc25a3",0.00249682098884486,0.605219131094485,0.584,0.571,1,"0","Slc25a3"
"Rpl23",0.00270864875140696,0.226183203121893,0.9,0.931,1,"0","Rpl23"
"Rpl32",0.002764056254137,0.193695291874855,0.923,0.965,1,"0","Rpl32"
"Ndufs6",0.00281503469792889,0.744865877993548,0.545,0.494,1,"0","Ndufs6"
"Rpl36al",0.0029981290399619,0.573511052063743,0.617,0.642,1,"0","Rpl36al"
"Ndufa4",0.00302173696909905,0.353931779702954,0.722,0.746,1,"0","Ndufa4"
"Gm10073",0.00302772420678616,0.978363152750825,0.292,0.21,1,"0","Gm10073"
"Tomm7",0.00307919933797221,0.714562860931284,0.536,0.515,1,"0","Tomm7"
"Cox5b",0.00316975657098866,0.57759982431657,0.665,0.661,1,"0","Cox5b"
"Cetn3",0.00359327445708233,0.844567714255033,0.517,0.493,1,"0","Cetn3"
"Fam162a",0.00373328677422009,0.609406802007214,0.349,0.269,1,"0","Fam162a"
"Med25",0.0038332064886302,0.662879296031641,0.268,0.187,1,"0","Med25"
"Serbp1",0.0038729591101693,0.538954408735199,0.641,0.646,1,"0","Serbp1"
"Cnbp",0.00426878279838027,0.618711718321153,0.574,0.579,1,"0","Cnbp"
"Atp5e",0.00451817889433078,0.380232244838942,0.689,0.747,1,"0","Atp5e"
"Ndufb6",0.00520147354974351,0.720703505601705,0.455,0.418,1,"0","Ndufb6"
"Eif1ax",0.00531809888703604,0.829697207768865,0.469,0.414,1,"0","Eif1ax"
"Eif3i",0.00580865534179254,0.674800480193894,0.531,0.509,1,"0","Eif3i"
"Eif1",0.00593057367538512,0.2676829498072,0.809,0.821,1,"0","Eif1"
"Ndufab1",0.00600972583513158,0.832031878014015,0.488,0.45,1,"0","Ndufab1"
"Sf3b5",0.00627055817778481,0.929874934138355,0.426,0.378,1,"0","Sf3b5"
"Pfn1",0.00631238769730483,0.888251926824368,0.33,0.262,1,"0","Pfn1"
"Mrpl42",0.00631760331513522,0.846249991811233,0.397,0.342,1,"0","Mrpl42"
"Sae1",0.00658206872964992,1.19396329414282,0.349,0.291,1,"0","Sae1"
"Rpl29",0.00717110749949763,0.1919393229466,0.847,0.875,1,"0","Rpl29"
"Etfb",0.00763073428515463,0.667830426339349,0.273,0.205,1,"0","Etfb"
"D030056L22Rik",0.00773908123362524,1.37941857813558,0.301,0.235,1,"0","D030056L22Rik"
"Rps13",0.0081268185944486,0.209569564620424,0.9,0.926,1,"0","Rps13"
"Hspd1",0.00837200299156015,0.809854280391717,0.435,0.408,1,"0","Hspd1"
"Dpm3",0.00886382139286717,1.21866751974437,0.258,0.194,1,"0","Dpm3"
"Scp2",0.00933664217763406,0.709285404434236,0.378,0.323,1,"0","Scp2"
"Pole3",0.00937185433585704,0.949965191539192,0.268,0.202,1,"0","Pole3"
"Cdk4",0.00944251793416806,0.446136292750067,0.694,0.685,1,"0","Cdk4"
"Ndufv2",5.01260719438487e-13,0.275967133885787,0.199,0.553,7.21464553487815e-09,"1","Ndufv2"
"Tomm20",7.47626381048353e-13,0.229116848107821,0.224,0.616,1.07605865024289e-08,"1","Tomm20"
"Ndufb11",1.72978890202219e-12,0.195717353540066,0.224,0.618,2.48968516668053e-08,"1","Ndufb11"
"Ppp1ca",2.10572010536036e-12,0.207288868390245,0.24,0.643,3.03076294764517e-08,"1","Ppp1ca"
"Smarca4",2.66499980760094e-12,0.352802193330054,0.138,0.437,3.83573422308004e-08,"1","Smarca4"
"Rsrc2",5.74571338444352e-12,0.191070758966866,0.163,0.491,8.26980527422956e-08,"1","Rsrc2"
"Sept7",1.57889438503612e-11,0.421422844297781,0.179,0.517,2.27250268838249e-07,"1","Sept7"
"Map2k2",1.70454577415536e-11,0.316491866380978,0.184,0.519,2.45335273274181e-07,"1","Map2k2"
"Mettl9",2.02415951750204e-11,0.223367893781643,0.214,0.582,2.91337279354068e-07,"1","Mettl9"
"Ndufb61",2.09333200591182e-11,0.233674977127375,0.173,0.505,3.01293275610888e-07,"1","Ndufb6"
"D8Ertd738e",2.26732706586118e-11,0.265780464598143,0.23,0.599,3.26336384589399e-07,"1","D8Ertd738e"
"Dctn2",2.33010169873184e-11,0.192595700393988,0.184,0.53,3.35371537498474e-07,"1","Dctn2"
"Bax",2.89319803724776e-11,0.261660120869619,0.24,0.616,4.16417993501071e-07,"1","Bax"
"Ube2d3",2.94485504169855e-11,0.319234118775555,0.24,0.621,4.23852986151673e-07,"1","Ube2d3"
"Rrp1",3.70643562410047e-11,0.220451910418309,0.189,0.533,5.33467279376781e-07,"1","Rrp1"
"Adh5",3.99236896439482e-11,0.226365293306252,0.199,0.547,5.74621665045346e-07,"1","Adh5"
"Atxn10",4.09012673103913e-11,0.352240914472283,0.224,0.6,5.88691940398462e-07,"1","Atxn10"
"Tmem147",4.65642087341071e-11,0.216108358202124,0.128,0.422,6.70198656310003e-07,"1","Tmem147"
"Tma7",5.08358593438477e-11,0.297069150610041,0.286,0.712,7.31680523536e-07,"1","Tma7"
"Bag1",5.70735711670344e-11,0.308130171163954,0.184,0.506,8.21459909807127e-07,"1","Bag1"
"Snw1",7.59421274300813e-11,0.20496349196296,0.097,0.37,1.09303504010116e-06,"1","Snw1"
"2010107E04Rik",9.27755852855159e-11,0.215845311025642,0.296,0.712,1.33531899901443e-06,"1","2010107E04Rik"
"Eif2s2",1.08696946803214e-10,0.305446510182008,0.219,0.574,1.56447515533866e-06,"1","Eif2s2"
"Ppp2r1a",1.08996025816709e-10,0.196423193477881,0.143,0.439,1.56877979957989e-06,"1","Ppp2r1a"
"Cct3",1.09972709669277e-10,0.207213169101653,0.224,0.6,1.58283721026991e-06,"1","Cct3"
"Vcp",1.34572653688444e-10,0.356543295206224,0.184,0.516,1.93690420453777e-06,"1","Vcp"
"Ndufa5",1.47224323509481e-10,0.207218561717028,0.214,0.558,2.11899968827196e-06,"1","Ndufa5"
"Snrpc",1.48037007369705e-10,0.274373660527071,0.219,0.572,2.13069664707216e-06,"1","Snrpc"
"Mpnd",1.88738226918954e-10,0.300829992337686,0.122,0.39,2.7165093000445e-06,"1","Mpnd"
"Bri3",1.91749640344314e-10,0.237003928149635,0.184,0.494,2.75985257347572e-06,"1","Bri3"
"Fkbp31",2.08542190481881e-10,0.222983140060774,0.281,0.679,3.00154774760572e-06,"1","Fkbp3"
"Emc10",2.17227225572501e-10,0.370237710036497,0.158,0.469,3.126551457665e-06,"1","Emc10"
